,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Job Type,Stage 3 Job Size,Job Time
0,1.0,17.334859781733968,38.05668530004919,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.72182551831522
1,2.0,85.10691205525625,103.1879204620588,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.081008406802553
2,3.0,151.35740503707382,172.3733101569771,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.015905119903294
3,4.0,163.72590937480942,181.67605015359635,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17.95014077878693
4,5.0,236.9691600743313,265.8313611401021,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.86220106577079
5,6.0,269.83493274110003,287.6189245292929,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.78399178819285
6,7.0,322.40233955971337,343.62036282891785,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.21802326920448
7,8.0,345.7977673999016,370.71690957608155,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,24.919142176179946
8,9.0,469.4236789391766,498.21437451134904,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.79069557217241
9,10.0,495.6334445983016,518.8976212468061,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,23.26417664850453
10,11.0,620.099125592116,647.464654333573,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.365528741456956
11,12.0,675.4462477643417,693.7812389824061,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.334991218064374
12,13.0,740.8471227446892,767.9911857496729,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.144063004983764
13,14.0,842.2016184058765,860.1305543228291,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.928935916952582
14,15.0,870.9042289593473,899.7111686946552,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.80693973530788
15,16.0,900.9221516429544,918.9036591895725,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.981507546618104
16,17.0,973.7681339399701,994.6024774799997,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.834343540029636
17,18.0,1017.1846093375937,1040.9616616253954,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,23.77705228780178
18,19.0,1104.5206407699445,1125.4308673244097,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.910226554465225
19,20.0,1144.1825810046907,1167.3234494231383,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,23.140868418447553
20,21.0,1152.1305267978914,1180.9559645941406,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,28.82543779624916
21,22.0,1178.243241730789,1203.449496757809,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,25.206255027020006
22,23.0,1250.7061065217183,1271.5762194347294,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.8701129130111
23,24.0,1267.92304596792,1293.1510545881295,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,25.228008620209494
24,25.0,1287.8365184428287,1308.5992522534825,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.7627338106538
